Penalty,Coupling,Lambda,Energy0,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9
3,0.2,3,3.132349112713724,5.087968361793713,5.241913385804924,5.2643015467831775,7.066202506513504,7.228764466685741,7.234681982043069,7.574414355704102,9.143656858677037,9.238784262694573
4,0.2,4,3.134148597278734,5.218006518500698,5.247087761156659,5.371607918312287,7.2247941918110925,7.360450422748285,7.361750517391311,8.063351230438705,9.266706488076833,9.977071220273677
5,0.2,5,3.1339097543872914,5.217005871761565,5.219965516596482,5.356478717242314,7.236651954972835,7.328838828512848,7.338266054286743,7.345102936365983,7.442563576368164,7.845222176354356
6,0.2,6,3.133929065983349,5.219519448571623,5.22026453837384,5.357866336796704,7.300717269869282,7.313860798234811,7.413920050753776,7.422290960994852,7.454664956832536,7.874317239985494
7,0.2,7,3.1339249154619893,5.219487531949998,5.219545503696691,5.357606294071301,7.301123484857173,7.303630688829796,7.382237690023685,7.420971166981164,7.423740496381234,7.8653989922918734
8,0.2,8,3.1339252438644976,5.219536000434591,5.219557682452708,5.357623968034093,7.302455444441595,7.3031203265358355,7.385210804092198,7.423301412077628,7.424192493935588,7.866379121494385
3,1.0,3,3.4629719863932316,5.295396805172122,5.93367738218813,6.061370321704225,7.284799173056596,7.792233507617098,7.94974793528825,8.990186633327196,9.761929993428845,9.904211988377313
4,1.0,4,3.5319326661615267,5.8071534889985665,6.185562491008669,6.314616511821814,8.0390563191993,8.202081717649097,8.530037946625557,10.158323756126675,11.296941050565403,11.296941050565389
5,1.0,5,3.5127719973699603,5.751275992495549,5.853603260805638,6.147325718859618,7.811622303351416,8.09794213440628,8.27493027126691,8.544676233902527,8.52240580254462,9.51886831002507
6,1.0,6,3.5172792495820278,5.826619621206658,5.8769734561702425,6.184500506985302,8.11109149317293,8.240790092810972,8.359881356978429,8.659796274468944,8.67739669280953,10.096621910335807
7,1.0,7,3.515429396176846,5.819097725538147,5.830431059353848,6.169626475902811,8.066813361167219,8.183847498875254,8.3208240695935,8.350203953965282,8.382055229499292,9.647949871120076
8,1.0,8,3.515837077135154,5.82726847471188,5.83488009406536,6.172700356185369,8.118912188729569,8.15544394846746,8.36400172576584,8.404024739708364,8.42261144543354,9.780763946532218
